ZIP CODE,Driver Inattention,Failure to Yield,Following Too Closely,Improper Lane Usage,Unsafe Lane Change,Unsafe Speed
11218.0,11714.0,2882.0,2403.0,1343.0,916.0,895.0
11219.0,13340.0,4748.0,2542.0,1284.0,829.0,670.0
11220.0,11289.0,5161.0,3642.0,2002.0,1245.0,1085.0
11221.0,18841.0,4969.0,4511.0,2856.0,621.0,2474.0
11222.0,7869.0,5661.0,4649.0,3640.0,776.0,925.0
11223.0,18846.0,6638.0,3177.0,1830.0,891.0,1563.0
11224.0,10496.0,1279.0,1264.0,775.0,434.0,484.0
11225.0,20330.0,2408.0,3840.0,2257.0,1135.0,1380.0
11226.0,23679.0,5254.0,5687.0,4590.0,1213.0,2269.0
11228.0,9952.0,4833.0,3165.0,1046.0,650.0,1005.0
11229.0,14585.0,5449.0,3306.0,2082.0,641.0,1439.0
11230.0,18512.0,4223.0,3925.0,3066.0,1016.0,1538.0
11231.0,5779.0,1254.0,1489.0,1229.0,684.0,597.0
11232.0,5857.0,1373.0,1371.0,1031.0,712.0,746.0
11233.0,22646.0,3573.0,5492.0,2390.0,1807.0,2675.0
11234.0,29032.0,13741.0,8059.0,4131.0,2847.0,4440.0
11235.0,21113.0,4961.0,3084.0,2129.0,1200.0,1617.0
11236.0,29749.0,12196.0,5517.0,3593.0,1941.0,5514.0
11237.0,10375.0,4756.0,2771.0,2513.0,251.0,1619.0
11238.0,15084.0,2520.0,4397.0,2184.0,911.0,968.0
11239.0,3408.0,940.0,708.0,666.0,129.0,423.0
11241.0,10.0,,,,,
11249.0,8200.0,3452.0,2699.0,2927.0,360.0,620.0
11251.0,8.0,6.0,,,,6.0
11354.0,2122.0,13976.0,8460.0,6303.0,1759.0,1166.0
11355.0,2119.0,13309.0,5923.0,4951.0,1396.0,1101.0
11356.0,656.0,4563.0,1517.0,1534.0,92.0,748.0
11357.0,1085.0,7334.0,2808.0,1508.0,310.0,965.0
11358.0,4559.0,8164.0,2721.0,1815.0,397.0,889.0
11359.0,,12.0,24.0,,,
11360.0,938.0,1578.0,836.0,674.0,43.0,227.0
11361.0,9992.0,4541.0,1753.0,1392.0,476.0,526.0
11362.0,5001.0,1430.0,962.0,515.0,261.0,396.0
11363.0,2846.0,832.0,1541.0,231.0,350.0,87.0
11364.0,6948.0,2267.0,1375.0,670.0,228.0,422.0
11365.0,7947.0,3492.0,1467.0,662.0,319.0,777.0
11366.0,6918.0,2390.0,1017.0,643.0,297.0,496.0
11367.0,13674.0,2625.0,2107.0,1095.0,637.0,764.0
11368.0,32268.0,5492.0,4752.0,2749.0,1166.0,1696.0
11369.0,15050.0,1836.0,1297.0,876.0,438.0,1188.0
11370.0,9487.0,1844.0,1621.0,1142.0,385.0,631.0
11372.0,22007.0,2459.0,2713.0,2219.0,604.0,699.0
11373.0,25598.0,6367.0,5158.0,3364.0,1629.0,1333.0
11374.0,6887.0,4170.0,3938.0,1918.0,1036.0,600.0
11375.0,11810.0,7081.0,5830.0,2940.0,996.0,890.0
11377.0,39037.0,4704.0,3809.0,2030.0,566.0,1313.0
11378.0,10363.0,4674.0,3680.0,1743.0,493.0,1141.0
